9;1;3;0;28118025;1;30000.0
8;1;4;0;28118025;1;30000.0
5;3;4;6;28118025;3;30000.0
6;1;4;9;28118025;3;30000.0
7;4;0;12;28118025;3;30000.0
10;2;3;0;28118025;1;30000.0
5;0;6;3;88247276;3;30000.0
10;4;0;0;88247276;1;30000.0
9;3;2;0;88247276;1;30000.0
8;3;2;0;88247276;1;30000.0
7;1;2;12;88247276;3;30000.0
6;2;2;12;88247276;3;30000.0
39;2;2;0;82186374;1;30000.0
44;2;2;0;82186374;1;30000.0
36;3;2;0;82186374;1;30000.0
22;2;2;6;82186374;3;30000.0
27;2;2;12;82186374;3;30000.0
32;1;8;9;82186374;3;30000.0
41;1;3;0;4355015;1;30000.0
28;0;0;12;4355015;3;30000.0
33;1;3;0;4355015;1;30000.0
43;3;1;0;11856025;1;30000.0
38;3;2;0;4355015;1;30000.0
40;2;3;0;11856025;1;30000.0
35;1;4;0;11856025;1;30000.0
24;1;2;12;11856025;3;30000.0
30;4;0;9;11856025;3;30000.0
20;2;6;6;11856025;3;30000.0
31;2;2;0;11411351;1;30000.0
37;2;2;0;11411351;1;30000.0
23;0;4;6;11411351;3;30000.0
29;3;2;12;11411351;3;30000.0
26;2;4;12;4355015;3;30000.0
21;5;6;3;4355015;3;30000.0
34;3;2;0;11411351;1;30000.0
25;2;6;9;11411351;3;30000.0
83;3;1;0;39610245;1;30000.0
80;3;2;0;39610245;1;30000.0
73;2;6;9;39610245;3;30000.0
75;1;4;6;39610245;3;30000.0
77;2;3;0;39610245;1;30000.0
70;1;2;12;39610245;3;30000.0
74;3;1;0;21950915;1;30000.0
71;2;2;0;21950915;1;30000.0
72;4;1;0;21950915;1;30000.0
69;1;2;12;21950915;3;30000.0
86;3;1;0;52091588;1;30000.0
64;1;8;3;21950915;3;30000.0
87;2;2;0;52091588;1;30000.0
84;1;3;0;52091588;1;30000.0
68;1;4;12;21950915;3;30000.0
76;3;4;6;52091588;3;30000.0
79;2;2;9;52091588;3;30000.0
82;1;6;12;52091588;3;30000.0
109;3;1;0;96825388;1;30000.0
111;2;2;0;96825388;1;30000.0
112;3;1;0;96825388;1;30000.0
103;3;2;9;96825388;3;30000.0
106;2;0;12;96825388;3;30000.0
98;0;8;6;96825388;3;30000.0
117;0;4;0;3951943;1;30000.0
118;3;2;0;3951943;1;30000.0
110;0;8;3;3951943;3;30000.0
113;3;2;12;3951943;3;30000.0
115;2;0;12;3951943;3;30000.0
120;4;2;0;3951943;1;30000.0
126;4;1;0;2069947;1;30000.0
121;0;4;12;2069947;3;30000.0
123;1;0;12;2069947;3;30000.0
124;3;2;0;2069947;1;30000.0
127;3;3;0;2069947;1;30000.0
119;1;8;3;2069947;3;30000.0
43;1;3;0;50939000;1;30000.0
35;1;3;0;50939000;1;30000.0
39;3;2;0;50939000;1;30000.0
29;2;0;12;50939000;3;30000.0
33;3;0;12;50939000;3;30000.0
23;2;10;3;50939000;3;30000.0
40;2;3;0;58858307;1;30000.0
45;5;0;0;58858307;1;30000.0
34;2;0;9;58858307;3;30000.0
37;2;3;0;58858307;1;30000.0
28;2;6;6;58858307;3;30000.0
30;1;2;12;58858307;3;30000.0
22;1;3;0;94094410;1;30000.0
25;2;2;0;94094410;1;30000.0
26;3;1;0;94094410;1;30000.0
9;2;0;12;94094410;3;30000.0
15;1;4;12;94094410;3;30000.0
18;3;8;3;94094410;3;30000.0
38;2;2;0;93235355;1;30000.0
41;4;2;0;93235355;1;30000.0
36;1;4;9;93235355;3;30000.0
44;1;4;0;93235355;1;30000.0
27;4;0;9;93235355;3;30000.0
31;0;6;9;93235355;3;30000.0
78;2;2;0;79182805;1;30000.0
80;2;2;0;79182805;1;30000.0
82;3;2;0;79182805;1;30000.0
72;1;8;3;79182805;3;30000.0
74;1;2;12;79182805;3;30000.0
76;3;2;12;79182805;3;30000.0
71;2;2;0;84950199;1;30000.0
73;3;1;0;84950199;1;30000.0
66;1;6;9;84950199;3;30000.0
69;2;3;0;84950199;1;30000.0
61;1;4;6;84950199;3;30000.0
64;3;2;12;84950199;3;30000.0
