3;2;1;0;4977073
1;1;2;0;4977073
2;1;2;0;4977073
0;2;1;0;4977073
1;1;2;0;21133263
2;1;2;0;21133263
0;2;1;0;21133263
3;2;1;0;21133263
2;1;2;0;27932439
0;2;1;0;27932439
3;2;1;0;27932439
1;1;2;0;27932439
2;2;1;0;89555722
3;2;1;0;89555722
0;1;2;0;89555722
1;1;2;0;89555722
3;2;1;0;41555278
2;1;2;0;41555278
0;2;1;0;41555278
1;1;2;0;41555278
2;1;2;0;89697431
3;2;1;0;89697431
0;2;1;0;89697431
1;1;2;0;89697431
1;2;1;0;46537284
0;1;2;0;46537284
2;2;1;0;46537284
3;1;2;0;46537284
2;1;2;0;52318756
3;1;2;0;52318756
0;2;1;0;52318756
1;2;1;0;52318756
2;1;2;0;56109361
1;2;1;0;56109361
3;1;2;0;56109361
0;2;1;0;56109361
1;2;1;0;99165694
2;2;1;0;99165694
0;1;2;0;99165694
3;1;2;0;99165694
2;0;3;0;9046467
3;2;1;0;9046467
0;3;0;0;9046467
1;1;2;0;9046467
3;3;0;0;3699908
2;2;1;0;3699908
0;1;2;0;3699908
1;0;3;0;3699908
3;2;1;0;1496421
2;1;2;0;1496421
0;2;1;0;1496421
1;1;2;0;1496421
1;2;1;0;89005626
2;1;2;0;89005626
0;2;1;0;89005626
3;1;2;0;89005626
1;1;2;0;1146826
2;1;2;0;1146826
0;2;1;0;1146826
3;2;1;0;1146826
3;0;3;0;78691837
2;1;2;0;78691837
0;2;1;0;78691837
1;3;0;0;78691837
3;1;2;0;76547470
2;2;1;0;76547470
0;1;2;0;76547470
1;2;1;0;76547470
3;1;2;0;33277385
2;0;3;0;33277385
0;3;0;0;33277385
1;2;1;0;33277385
1;1;2;0;72302016
0;2;1;0;72302016
2;1;2;0;72302016
3;2;1;0;72302016
2;2;1;0;17630938
3;1;2;0;17630938
0;1;2;0;17630938
1;2;1;0;17630938
3;1;2;0;54594885
2;0;3;0;54594885
0;3;0;0;54594885
1;2;1;0;54594885
3;2;1;0;79189507
2;2;1;0;79189507
0;1;2;0;79189507
1;1;2;0;79189507
